id,n_atoms,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds,qcfractal id,job status,mb_interaction_energy,mb_wall_time,mb_wall_time_log10_s,mb_wall_time_hours,psi4 output,submitted_unix_time,mb_ie_kcalmol,reference_ie,IE_error_kcalmol
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],wB97X-V/aug-cc-pVTZ/CP,1.2275904417037964,4.171383804140489,14838.288272811398,[168],complete,-0.03377844270175956,29118.63,4.464170938036719,8.088508333333333,,1781290684.678278,-21.19627680133844,-20.65,-0.55
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],MP2/aug-cc-pVTZ/CP,1.858049750328064,3.7149296700523857,5187.160308955635,[174],complete,-0.059776464613833014,9008.72,3.9546630888228864,2.502422222222222,,1781290684.678278,-37.51026953336174,-20.65,-16.86
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],B3LYP-D3/aug-cc-pVTZ/CP,0.1289186179637909,3.735657567729358,5440.734929088083,[180],complete,-0.031004300675931518,10262.47,4.011251900568082,2.850686111111111,,1781290684.678278,-19.45547771285311,-20.65,1.19
C2C2PD,72,[   156   2604 939386   6096],[    78   2682 939386   6096],[    78   2682 939386   6096],B2PLYP-D3/aug-cc-pVTZ/CP,2.9444501399993896,3.7587780981559966,5738.231935480545,325,error,,,,,,1781290684.678278,,-20.65,
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],HF/aug-cc-pVTZ/CP,26.081750869750977,3.789401006587065,6157.451597002147,[149],complete,0.014808319303938333,15977.35,4.203504748957061,4.438152777777778,,1781290684.678278,9.29235363809504,-16.34,25.63
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],PBE-D3/aug-cc-pVTZ/CP,-11.564992904663086,3.850730847208846,7091.381453667215,[155],complete,-0.022037066457414767,24125.89,4.382483343361299,6.701636111111111,,1781290684.678278,-13.828457535625883,-16.34,2.51
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],wB97X-D/aug-cc-pVTZ/CP,0.2609981298446655,4.349793906432408,22376.590100174966,[161],complete,-0.028655730282025615,47526.76,4.6769382085282265,13.201877777777778,,1781290684.678278,-17.981728653543612,-16.34,-1.64
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],wB97X-V/aug-cc-pVTZ/CP,0.9794572591781616,4.504220662290379,31931.59867411791,[167],complete,-0.027056533060658694,55791.44,4.746567570874129,15.497622222222223,,1781290684.678278,-16.978218004360876,-16.34,-0.64
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],MP2/aug-cc-pVTZ/CP,1.8464860916137693,4.150382690105144,14137.827881158104,[173],complete,-0.042455941686057486,37789.87,4.577375397913846,10.497186111111112,,1781290684.678278,-26.641485511476247,-16.34,-10.3
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],B3LYP-D3/aug-cc-pVTZ/CP,-0.0862826406955719,4.06447517081855,11600.458929168512,[179],complete,-0.02566759345927494,21494.57,4.332328761456043,5.970713888888889,,1781290684.678278,-16.10664590403616,-16.34,0.23
C3A,87,[    206    3267 1130431    7714],[     35    3438 1130431    7714],[    171    3302 1130432    7714],B2PLYP-D3/aug-cc-pVTZ/CP,1.598939299583435,4.181565206632516,15190.259972767466,324,complete,-0.027353192695045436,29773.160000000003,4.473824931312206,8.270322222222223,,1781290684.678278,-17.164374594875266,-16.34,-0.82
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],HF/aug-cc-pVTZ/CP,97.0883331298828,3.634377147505905,4309.00648310859,[152],complete,0.011602391997257655,5470.43,3.7380214651428405,1.519563888888889,,1781290684.678278,7.280605399807154,-11.06,18.34
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],PBE-D3/aug-cc-pVTZ/CP,-69.33512878417969,3.819828721496066,6604.32932900306,[158],complete,-0.023350853495230695,8466.44,3.9277008349632334,2.351788888888889,,1781290684.678278,-14.652870725938719,-11.06,-3.59
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],wB97X-D/aug-cc-pVTZ/CP,12.387368202209473,4.253166050611231,17912.906153155316,[164],complete,-0.022113176295533776,27577.17,4.440549696341461,7.660324999999999,,1781290684.678278,-13.876217144034104,-11.06,-2.82
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],wB97X-V/aug-cc-pVTZ/CP,-1.1472030878067017,4.469759886446757,29495.780075136227,318,complete,-0.019354907135038957,37886.78,4.578487696125975,10.524105555555556,,1781290684.678278,-12.14537842140116,-11.06,-1.09
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],MP2/aug-cc-pVTZ/CP,6.519311428070068,3.968562569505336,9301.705162649192,[176],complete,-0.018485471019175748,12208.13,4.08664914528168,3.391147222222222,,1781290684.678278,-11.599799433771954,-11.06,-0.54
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],B3LYP-D3/aug-cc-pVTZ/CP,4.183959484100342,4.081545363179349,12065.501088877176,[182],complete,-0.022383000017271115,12537.9,4.098224801663302,3.48275,,1781290684.678278,-14.045533957837781,-11.06,-2.99
CBH,112,[    146    3258 1533416    7240],[     73    3331 1533416    7240],[     73    3331 1533414    7240],B2PLYP-D3/aug-cc-pVTZ/CP,9.887635231018066,4.016925760827342,10397.424149762806,327,complete,-0.017851136849230897,17084.02,4.232590071176968,4.745561111111111,,1781290684.678278,-11.201749033124031,-11.06,-0.14
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],HF/aug-cc-pVTZ/CP,46.75223159790039,3.570273538119796,3717.693123384419,[153],complete,0.025642550060865688,12457.079999999998,4.095416253518607,3.4602999999999993,,1781290684.678278,16.090930946143768,-20.2,36.29
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],PBE-D3/aug-cc-pVTZ/CP,-21.087217330932617,3.7192166093893126,5238.616534885777,[159],complete,-0.027714089350411086,12376.76,4.092606969540066,3.437988888888889,,1781290684.678278,-17.39084049418711,-20.2,2.81
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],wB97X-D/aug-cc-pVTZ/CP,3.494180679321289,4.164766068081893,14613.897875118118,[165],complete,-0.03708125319167266,37219.07,4.5707655171312815,10.338630555555556,,1781290684.678278,-23.26882010905332,-20.2,-3.07
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],wB97X-V/aug-cc-pVTZ/CP,0.6145675778388977,4.349165747561905,22344.248235875206,[171],complete,-0.034399064354374786,40339.65,4.605732125812094,11.205458333333334,,1781290684.678278,-21.585722473949367,-20.2,-1.39
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],MP2/aug-cc-pVTZ/CP,4.280956745147705,3.900414619908713,7950.869401098008,319,complete,-0.054573185356957765,20909.96,4.320353202028772,5.808322222222222,,1781290684.678278,-34.24516497015921,-20.2,-14.05
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],B3LYP-D3/aug-cc-pVTZ/CP,1.715919852256775,3.929122217043419,8494.19480908881,322,complete,-0.031512405087823936,16904.67,4.228006697220812,4.695741666666666,,1781290684.678278,-19.77431780425531,-20.2,0.43
Da2,88,[    164    2964 1163670    6832],[     82    3046 1163670    6832],[     82    3046 1163670    6832],B2PLYP-D3/aug-cc-pVTZ/CP,3.756551742553711,3.9404831681497594,8719.33107323532,328,complete,-0.03371873159539973,19492.47,4.289866874489764,5.414575,,1781290684.678278,-21.15880754469769,-20.2,-0.96
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],HF/aug-cc-pVTZ/CP,48.0178108215332,3.646815933992002,4434.206701611205,[154],complete,0.011374698991858168,14935.05,4.174206680886431,4.148625,,1781290684.678278,7.137725989681927,-30.79,37.93
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],PBE-D3/aug-cc-pVTZ/CP,-27.93562889099121,3.747074619811261,5585.661584724024,317,complete,-0.04440417017121945,13778.61,4.139205407718326,3.8273916666666667,,1781290684.678278,-27.864016419971744,-30.79,2.93
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],wB97X-D/aug-cc-pVTZ/CP,1.3761783838272097,4.217597590716159,16504.318297225283,[166],complete,-0.050033670116590656,37149.27,4.569950284096952,10.319241666666667,,1781290684.678278,-31.39657830119169,-30.79,-0.61
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],wB97X-V/aug-cc-pVTZ/CP,1.5833591222763062,4.384212097928142,24222.117019973957,[172],complete,-0.05108038401567683,44696.11,4.650269727180062,12.41558611111111,,1781290684.678278,-32.05340069329335,-30.79,-1.26
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],MP2/aug-cc-pVTZ/CP,3.3593907356262207,3.990510975501902,9783.876803121015,320,complete,-0.06912840998893444,24673.88,4.392237448236947,6.853855555555556,,1781290684.678278,-43.37869942374626,-30.79,-12.59
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],B3LYP-D3/aug-cc-pVTZ/CP,-0.1226588189601898,3.954888002842921,9013.386677266906,323,complete,-0.0491829669767867,19563.97,4.291456988189091,5.434436111111111,,1781290684.678278,-30.862754424636446,-30.79,-0.07
S8-2,84,[    188    3009 1095497    7054],[    141    3056 1095497    7054],[     47    3150 1095500    7054],B2PLYP-D3/aug-cc-pVTZ/CP,3.3007757663726807,4.02556043153852,10606.215122727217,329,complete,-0.05027547664303711,24864.04,4.395571695792205,6.906677777777778,,1781290684.678278,-31.548314072795574,-30.79,-0.76
