id,expected_lot,qcf_id,expected_method,server_method,expected_basis,server_basis,expected_bsse,server_bsse,matches
2a,MP2/aug-cc-pVTZ/CP,19,mp2,mp2,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
CBH,MP2/aug-cc-pVTZ/CP,20,mp2,mp2,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
Da2,MP2/aug-cc-pVTZ/CP,21,mp2,mp2,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
S8-2,MP2/aug-cc-pVTZ/CP,22,mp2,mp2,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C3A,B3LYP-D3/aug-cc-pVTZ/CP,23,b3lyp-d3,b3lyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C2C2PD,B3LYP-D3/aug-cc-pVTZ/CP,24,b3lyp-d3,b3lyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
2a,B3LYP-D3/aug-cc-pVTZ/CP,25,b3lyp-d3,b3lyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
CBH,B3LYP-D3/aug-cc-pVTZ/CP,26,b3lyp-d3,b3lyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
Da2,B3LYP-D3/aug-cc-pVTZ/CP,27,b3lyp-d3,b3lyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
S8-2,B3LYP-D3/aug-cc-pVTZ/CP,28,b3lyp-d3,b3lyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C2C2PD,B2PLYP-D3/aug-cc-pVTZ/CP,29,b2plyp-d3,b2plyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
2a,B2PLYP-D3/aug-cc-pVTZ/CP,30,b2plyp-d3,b2plyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
CBH,B2PLYP-D3/aug-cc-pVTZ/CP,31,b2plyp-d3,b2plyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,32,b2plyp-d3,b2plyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
S8-2,B2PLYP-D3/aug-cc-pVTZ/CP,33,b2plyp-d3,b2plyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C3A,wB97X-D/aug-cc-pVTZ/CP,94,wb97x-d,wb97x-d,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
2a,wB97X-D/aug-cc-pVTZ/CP,95,wb97x-d,wb97x-d,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C3A,wB97X-V/aug-cc-pVTZ/CP,96,wb97x-v,wb97x-v,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
2a,wB97X-V/aug-cc-pVTZ/CP,97,wb97x-v,wb97x-v,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
CBH,wB97X-V/aug-cc-pVTZ/CP,98,wb97x-v,wb97x-v,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
Da2,wB97X-V/aug-cc-pVTZ/CP,99,wb97x-v,wb97x-v,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
S8-2,wB97X-V/aug-cc-pVTZ/CP,100,wb97x-v,wb97x-v,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C3A,MP2/aug-cc-pVTZ/CP,101,mp2,mp2,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
C3A,B2PLYP-D3/aug-cc-pVTZ/CP,102,b2plyp-d3,b2plyp-d3,aug-cc-pvtz,aug-cc-pvtz,cp,cp,True
