id,n_atoms,dimer_tvars,monA_tvars,monB_tvars,Level of Theory,ERROR ESTIMATES (kcal/mol),ESTIMATED CPU TIMES (log10(s)),walltime_seconds,qcfractal id,job status,mb_interaction_energy,mb_wall_time,psi4 output
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],PBE-D3/aug-cc-pVTZ/CP,21.087217330932617,3.356490665589799,2272.430792768776,[11],,,,
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],PBE-D3/aug-cc-pVTZ/CP,27.93562889099121,3.4563928788383063,2860.176795019881,[12],,,,
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],wB97X-D/aug-cc-pVTZ/CP,-0.18373635411262512,3.6325019375535907,4290.44103364262,[13],,,,
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],wB97X-D/aug-cc-pVTZ/CP,-12.387368202209473,3.8907371063802043,7775.657208580094,[14],,,,
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],wB97X-D/aug-cc-pVTZ/CP,-3.494180679321289,3.805909184555749,6396.010743327672,[15],,,,
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],wB97X-D/aug-cc-pVTZ/CP,-1.3761783838272095,3.9480352039262305,8872.279278507252,[16],,,,
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],wB97X-V/aug-cc-pVTZ/CP,-1.2275904417037964,3.8128647054520486,6499.271887989986,[17],,,,
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],MP2/aug-cc-pVTZ/CP,-1.858049750328064,3.422792822438577,2647.2369889134307,[18],,,,
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],MP2/aug-cc-pVTZ/CP,-5.158796787261963,3.8853197859182833,7679.2673201625985,[19],,,,
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],MP2/aug-cc-pVTZ/CP,-6.519311428070068,3.66851442390061,4661.379092375536,[20],,,,
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],MP2/aug-cc-pVTZ/CP,-4.280956745147705,3.6096951841290137,4070.9445237410027,[21],,,,
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],MP2/aug-cc-pVTZ/CP,-3.3593907356262207,3.7858902207862455,6107.876129524628,[22],,,,
C3A,87,[    206    3267 1130431    7714],[    35    540 216610   1270],[   171   2727 954670   6444],B3LYP-D3/aug-cc-pVTZ/CP,0.0862826406955719,3.8524428865725393,7119.391677715793,[23],,,,
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],B3LYP-D3/aug-cc-pVTZ/CP,-0.1289186179637909,3.4061294706881764,2547.5896198684686,[24],,,,
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],B3LYP-D3/aug-cc-pVTZ/CP,-2.216435670852661,3.8039423093621196,6367.109361355954,[25],,,,
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],B3LYP-D3/aug-cc-pVTZ/CP,-4.183959484100342,3.739635936078508,5490.8039328511595,[26],,,,
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],B3LYP-D3/aug-cc-pVTZ/CP,-1.715919852256775,3.5970404408726213,3954.0343774886114,[27],,,,
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],B3LYP-D3/aug-cc-pVTZ/CP,0.12265881896018982,3.713853132416452,5174.318197980458,[28],,,,
C2C2PD,72,[   156   2604 939386   6096],[    78   1302 494790   3048],[    78   1302 494790   3048],B2PLYP-D3/aug-cc-pVTZ/CP,-2.9444501399993896,3.4683401011129797,2939.951060942357,[29],,,,
2a,92,[    193    3257 1191810    7596],[   141   2481 967396   5748],[    52    776 285682   1848],B2PLYP-D3/aug-cc-pVTZ/CP,-3.857954978942871,3.917221348396738,8264.590665524784,[30],,,,
CBH,112,[    146    3258 1533416    7240],[    73   1629 794963   3620],[    73   1629 794968   3620],B2PLYP-D3/aug-cc-pVTZ/CP,-9.887635231018066,3.7192354870394753,5238.844248853463,[31],,,,
Da2,88,[    164    2964 1163670    6832],[    82   1482 609882   3416],[    82   1482 609860   3416],B2PLYP-D3/aug-cc-pVTZ/CP,-3.756551742553711,3.652431086623032,4491.910418679708,[32],,,,
S8-2,84,[    188    3009 1095497    7054],[   141   2389 915353   5564],[    47    620 230587   1490],B2PLYP-D3/aug-cc-pVTZ/CP,-3.3007757663726807,3.8194171038746836,6598.07281276147,[33],,,,
