id,Level of Theory,walltime_seconds,accuracy_bucket,predicted_abs_percent_error,qcfractal id,job status,submission_time_utc
CBH,wB97X-D/aug-cc-pVTZ/CP,17912.90615312619,not_recommended,27.802941165392912,[14],RecordStatusEnum.deleted,2026-06-29T13:41:34.290856+00:00
Da2,wB97X-D/aug-cc-pVTZ/CP,14613.897874899616,low_accuracy,8.389111792687142,[15],RecordStatusEnum.deleted,2026-06-29T13:41:34.317605+00:00
S8-2,wB97X-D/aug-cc-pVTZ/CP,16504.31829744741,high_accuracy,0.14300767565826658,[16],RecordStatusEnum.deleted,2026-06-29T13:41:34.343893+00:00
C3A,wB97X-V/aug-cc-pVTZ/CP,31931.606624679473,high_accuracy,1.1649974958111635,[96],RecordStatusEnum.deleted,2026-06-29T13:41:34.371853+00:00
C2C2PD,wB97X-V/aug-cc-pVTZ/CP,14838.308093536134,medium_accuracy,3.213502304317299,[17],RecordStatusEnum.deleted,2026-06-29T13:41:34.396796+00:00
2a,wB97X-V/aug-cc-pVTZ/CP,30913.51359604546,low_accuracy,5.3484205969256156,[97],RecordStatusEnum.deleted,2026-06-29T13:41:34.421347+00:00
CBH,wB97X-V/aug-cc-pVTZ/CP,29495.77737892813,high_accuracy,1.2054950483884346,[98],RecordStatusEnum.deleted,2026-06-29T13:41:34.448800+00:00
Da2,wB97X-V/aug-cc-pVTZ/CP,22344.231867237322,high_accuracy,1.7523306726229073,[99],RecordStatusEnum.deleted,2026-06-29T13:41:34.475782+00:00
S8-2,wB97X-V/aug-cc-pVTZ/CP,24222.132429711757,high_accuracy,1.791326710836343,[100],RecordStatusEnum.deleted,2026-06-29T13:41:34.502348+00:00
C3A,MP2/aug-cc-pVTZ/CP,14137.827881158104,not_recommended,37.05768573532198,[101],RecordStatusEnum.deleted,2026-06-29T13:41:34.526490+00:00
C2C2PD,MP2/aug-cc-pVTZ/CP,5187.160308955635,not_recommended,56.40712026822365,[18],RecordStatusEnum.deleted,2026-06-29T13:41:34.549838+00:00
2a,MP2/aug-cc-pVTZ/CP,12720.5039976906,not_recommended,37.33187294285608,[19],RecordStatusEnum.deleted,2026-06-29T13:41:34.575685+00:00
CBH,MP2/aug-cc-pVTZ/CP,9301.705162649192,high_accuracy,0.75470851515344,[20],RecordStatusEnum.deleted,2026-06-29T13:41:34.601693+00:00
Da2,MP2/aug-cc-pVTZ/CP,7950.869401098008,not_recommended,38.31018079625498,[21],RecordStatusEnum.deleted,2026-06-29T13:41:34.625806+00:00
S8-2,MP2/aug-cc-pVTZ/CP,9783.876803121015,not_recommended,28.05298200943672,[22],RecordStatusEnum.deleted,2026-06-29T13:41:34.651222+00:00
C3A,B3LYP-D3/aug-cc-pVTZ/CP,11600.467114160505,medium_accuracy,2.285351696329572,[23],RecordStatusEnum.deleted,2026-06-29T13:41:34.678602+00:00
C2C2PD,B3LYP-D3/aug-cc-pVTZ/CP,5440.750443781873,not_recommended,10.292633971059583,[24],RecordStatusEnum.deleted,2026-06-29T13:41:34.704254+00:00
2a,B3LYP-D3/aug-cc-pVTZ/CP,11473.475658270758,medium_accuracy,3.5661561946394156,[25],RecordStatusEnum.deleted,2026-06-29T13:41:34.729359+00:00
CBH,B3LYP-D3/aug-cc-pVTZ/CP,12065.499123052226,not_recommended,19.598645284421618,[26],RecordStatusEnum.deleted,2026-06-29T13:41:34.754891+00:00
Da2,B3LYP-D3/aug-cc-pVTZ/CP,8494.181527164334,medium_accuracy,3.7157216874679717,[27],RecordStatusEnum.deleted,2026-06-29T13:41:34.782749+00:00
S8-2,B3LYP-D3/aug-cc-pVTZ/CP,9013.400551029714,high_accuracy,0.9401387965458483,[28],RecordStatusEnum.deleted,2026-06-29T13:41:34.809977+00:00
C3A,B2PLYP-D3/aug-cc-pVTZ/CP,15190.261090032309,medium_accuracy,2.902786873253644,[102],RecordStatusEnum.deleted,2026-06-29T13:41:34.840286+00:00
C2C2PD,B2PLYP-D3/aug-cc-pVTZ/CP,5738.23457173397,low_accuracy,5.92193014685236,[29],RecordStatusEnum.deleted,2026-06-29T13:41:34.866701+00:00
2a,B2PLYP-D3/aug-cc-pVTZ/CP,13683.721098864544,medium_accuracy,3.84955559782193,[30],RecordStatusEnum.deleted,2026-06-29T13:41:34.894568+00:00
CBH,B2PLYP-D3/aug-cc-pVTZ/CP,10397.423876243249,low_accuracy,6.057037475096166,[31],RecordStatusEnum.deleted,2026-06-29T13:41:34.911973+00:00
Da2,B2PLYP-D3/aug-cc-pVTZ/CP,8719.329070139653,low_accuracy,5.772528081837267,[32],RecordStatusEnum.deleted,2026-06-29T13:41:34.937914+00:00
S8-2,B2PLYP-D3/aug-cc-pVTZ/CP,10606.217172021596,medium_accuracy,4.628711646545549,[33],RecordStatusEnum.deleted,2026-06-29T13:41:34.957609+00:00
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
,,,,,,RecordStatusEnum.deleted,
